Company Name,Ticker,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil)
"Voya Financial","VOYA","YES","2.04","2.08","7","8.13","1245.52197","308.51699","-16.38","3537","611","2573","510","835","16308","Insurance - Life Insurance","Finance","6909.72"
"Vishay Precision Group","VPG","YES","","","","","","","14.05","362.58","47.35699","212.97799","36.06299","51.23699","251.80599","Electronics - Miscellaneous Components","Computer and Technology","543.94"
"","VQS","YES","-.08","-.04","1","-.29","48.115","12.1","47.66","45.84","-8.263","23.91799","-8.70601","-2.6178","9.156","Technology Services","Business Services","12.13"
"Vera Bradley","VRA","YES","-.21",".07","1",".42","495.48999","100.34999","-7.49","499.96","-94.87101","261.01699","-59.73501","110.577","226.56199","Retail - Apparel and Shoes","Retail-Wholesale","180.76"
"The Glimpse Group","VRAR","YES","","","","","","","112.39","7.27","-5.96601","1.241","-5.96601","-5.4258","18.34099","Technology Services","Business Services","59.27"
"ViewRay","VRAY","YES","-.15","-.15","6","-.6","136.098","28.90699","45.76","102.21","-102.27301","92.161","-107.33001","-100.988","228.354","Medical - Instruments","Medical","572.69"
"Verrica Pharmaceuticals","VRCA","YES","-.23","-.27","3","-.95","6.3933","","-24.73","9.03","-22.31501",".725","-24.487","-16.622","39.115","Medical - Drugs","Medical","252.79"
"Viridian Therapeutics","VRDN","YES","-1.03","-1.04","7","-4.43","1.28999",".331","-40.2","1.77","-129.38801","0","-129.874","-129.829","431.173","Medical - Biomedical and Genetics","Medical","1090.04"
"Veris Residential","VRE","YES",".08",".1","2",".42","314.48999","73.66","7.8","355.02","43.90299","161.33299","-52.06601","79.10199","90.303","REIT and Equity Trust - Residential","Finance","1431.29"
"VAREX IMAGING","VREX","YES",".25",".35","1",".99","883.79998","222.6","5.05","859.4","84.3","575.90002","30.29999","74.8","609.90002","Medical - Products","Medical","721.4"
"Vroom","VRM","YES","-.51","-.48","3","-2.04","1062.34301","247.343","-38.8","1948.9","-430.89701","1704.11401","-451.91001","-173.83501","1220.109","Automotive - Domestic","Auto-Tires-Trucks","124.39"
"Verona Pharma","VRNA","YES","-.22","-.24","5","-.9","10","","-98.86",".46","-67.92701",".34599","-68.701","-67.98501","242.996","Medical - Biomedical and Genetics","Medical","1552.53"
"Varonis Systems","VRNS","YES",".06",".11","7",".34","529.14898","124.64199","21.4","473.63","-121.228","69.83599","-124.518","67.814","905.65698","Security","Computer and Technology","2719.46"
"Verint Systems","VRNT","YES",".46",".61","3","2.65","934.97698","216.96499","3.17","902.24","62.63899","295.06799","14.89799","279.29901","619.656","Computer - Software","Computer and Technology","2407.62"
"Verra Mobility","VRRM","YES",".28",".29","3","1.06","788.80999","199.897","34.69","741.6","196.47999","273.58599","92.47499","305.74499","362.59399","Security and Safety Services","Industrial Products","2456.7"
"Verisk Analytics","VRSK","YES","1.38","1.42","8","5.43","2607.27807","650.69702","-16.73","2497","1401.19995","824.59997","953.90002","1136.80004","925.09997","Business - Information Services","Business Services","29457.18"
"VeriSign","VRSN","YES","1.67","1.7","1","6.74","1500.90002","372.05999","7.33","1424.9","955.5","200.69999","673.79998","720.79998","1038.69995","Internet - Software and Services","Computer and Technology","22345.58"
"Vertiv","VRT","YES",".28",".3","2","1.13","6498.43017","1638.55004","13.87","5691.5","314.29998","4075.3999","76.59999","511.39999","3158.69995","Computers - IT Services","Computer and Technology","4675.19"
"Veritiv","VRTV","YES","","","","19.35","","","4.32","7146.3","449.6","5526","337.89999","370.50601","1457.80004","Paper and Related Products","Basic Materials","1613.94"
"Vertex Pharmaceuticals","VRTX","YES","3.61","3.73","9","14.15","9640.08203","2382.19311","17.91","8930.7","4287.20019","1080.30004","3322","4003.30004","13234.7998","Medical - Biomedical and Genetics","Medical","82696.03"
"Versus Systems","VS","YES","-.36","-.25","1","-1.2","2.02999",".33","44.21","1.11","-21.639","0","-21.762",".24973","1.463","Internet - Software","Computer and Technology","5.53"
"Viasat","VSAT","YES","-.31","-.36","1","-1.97","2892.65795","694.61297","23.56","2787.64","12.95199","1940.12194","-15.53401","479.91299","1159.47204","Wireless Equipment","Computer and Technology","2611.2"
"Victoria's Secret","VSCO","YES",".55",".97","4","4.9","6640.98193","1417.03698","-6.49","6344.3","477","4086","348","690.39202","1737","Leisure and Recreation Products","Consumer Discretionary","2513.53"
"VSE","VSEC","YES",".8",".97","3","3.42","1014.07702","252.48599","26.49","949.76","55.131","871.82897","28.059","62.874","548.87799","Engineering - R and D Services","Construction","550.45"
"Vishay Intertechnology","VSH","YES",".54",".52","2","2.02","3316.91503","840.01","7.93","3497.4","610.63397","2438.4121","428.80999","618.23797","2121.20996","Semiconductor - Discretes","Computer and Technology","3003.03"
"Vistra","VST","YES",".7","2.6","1","2.79","15369.76074","2911.46997","13.67","13728","-1192","12046","-1227","956","11116","Utility - Electric Power","Utilities","9141.6"
"Verastem","VSTM","YES","-.09","-.09","2","-.31","7","","26.45","2.6","-71.67501","0","-73.812","-73.62001","92.87","Medical - Biomedical and Genetics","Medical","79.72"
"Vista Outdoor","VSTO","YES","1.41","1.33","2","4.97","3178.92504","819.28997","36.8","3044.62","646.22198","1935.38903","473.22601","564.03802","1110.94299","Leisure and Recreation Products","Consumer Discretionary","1460.97"
"VTEX","VTEX","YES","-.02","-.01","1","-.03","186.27999","45.63299","25.32","157.62","-25.043","52.832","-52.418","-36.031","287.15701","Internet - Software","Computer and Technology","701.16"
"VistaGen Therapeutics","VTGN","YES","","","","-.15",".74","","1.74","1.11","-47.759","0","-47.76201","-47.60901","70.998","Medical - Biomedical and Genetics","Medical","29.92"
"","VTI","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","280588.88"
"Vital Energy, Inc.","VTLE","YES","5.18","5.73","6","21.37","1331.67199","335.346","37.78","1920.8","762.135","349.79299","631.51202","702.86102","245.791","Alternative Energy - Other","Oils-Energy","913.45"
"Vertex Energy","VTNR","YES",".4",".57","4","1.89","3598.67504","854.03997","2311.2","2791.72","56.06999","2611.70507","-4.82201","49.74599","373.428","Pollution Control","Industrial Products","632.59"
"Bristow Group","VTOL","YES","","","","","","",".61","1185.2","37.102","872.85699","-15.79101","100.775","579.885","Transportation - Airline","Transportation","633.64"
"Ventas","VTR","YES",".74",".75","8","2.96","4333.18603","1083.14404","7.87","4129.19","373.42001","278.49798","-47.447","1099.76501","707.82","REIT and Equity Trust - Other","Finance","17054.28"
"Viatris","VTRS","YES",".71",".77","4","2.93","15679.30175","3885.30004","-9.08","16262.7","3405.60009","9765.70019","2078.60009","7104.70019","10635.40039","Medical Services","Medical","11872.39"
"VirTra","VTSI","YES",".08","-.05","1",".23","29.98999","7.98999","15.83","28.3","2.528","12.04699","1.95599","3.2555","34.096","Electronics - Military","Aerospace","61.29"
"Ventyx Biosciences","VTYX","YES","-.66","-.67","6","-2.64","","","","","-108.42601","0","-108.42601","-107.95601","330.68798","Medical - Biomedical and Genetics","Medical","1664.34"
"Vuzix","VUZI","YES","-.15","-.15","1","-.6","20.5","5.13","-10.09","11.84","-40.764","10.35299","-40.764","-38.176","91.24099","Computer - Peripheral Equipment","Computer and Technology","249.67"
"Viad Corp","VVI","YES",".69","2.61","2",".52","1133.70996","307.061","122.2","1127.31","69.511","1058.30004","23.21999","67.89199","239.55499","Business - Services","Business Services","390.95"
"Vivos Therapeutics","VVOS","YES","-.16","-.07","1","-.4","17.35","4.38999","-5.1","16.02","-23.845","6.005","-23.845","-23.17601","5.42399","Medical - Drugs","Medical","8.22"
"Vivopower International","VVPR","YES","","","","","","","-6.89","37.62","-14.308","22.18899","-21.56901","-19.18401","21.165","Solar","Oils-Energy","9.35"
"Valvoline","VVV","YES",".35",".33","3","1.05","1428.16198","365.445","-58.53","1236.1","213.39999","759.70001","424.29998","453.20001","1621.09997","Chemical - Specialty","Basic Materials","5971.32"
"V2X, Inc.","VVX","YES",".81","1.22","3","4.03","3860.28393","898.76202","62.07","2890.86","55.77099","2595.8479","-14.33","168.141","931.932","Technology Services","Business Services","1249.51"
"Bespoke Capital Acquisition","VWE","YES","","","","0","","","33.08","293.77","14.29199","203.815","-.571","50.506","300.72299","Beverages - Alcohol","Consumer Staples","67.24"
"","VWO","YES","","","","","","","","","","","","","","Financial - Investment Funds","Finance","71975.7"
"VAXART","VXRT","YES","-.2","-.23","2","-.77",".1","","-88",".11","-106.38601","0","-107.75801","-102.116","99.45099","Medical - Drugs","Medical","99.84"
"Voyager Therapeutics","VYGR","YES","-.44","-.45","2",".96","150.597","6.355","9.33","40.91","-46.392","0","-46.40801","-40.23301","124.499","Medical - Biomedical and Genetics","Medical","345.91"
"VYNE Therapeutics","VYNE","YES","-2.62","-2.81","1","-10.06","","","-96.77",".48","-33.932","0","-23.21","-33.87301","38.275","Medical - Drugs","Medical","8.88"
"Verizon Communications","VZ","YES","1.2","1.21","7","4.69","137483.1875","34078.75","2.41","136835","31884","59133","21256","38860","37857","Wireless National","Computer and Technology","165816"
"VIZIO","VZIO","YES",".01",".04","5",".08","1801.21704","396.513","-12.3","1862.8","6.59999","1550.30004","-.40001","2.59999","778.40002","Consumer Products - Discretionary","Consumer Discretionary","1789.19"
"Wayfair","W","YES","-.92","-.72","11","-3.8","12051.41503","3107.10595","-10.87","12218","-1292","8802","-1331","-439","1933","Internet - Commerce","Retail-Wholesale","3721.75"
"Westinghouse Air Brake Technologies","WAB","YES","1.31","1.38","5","5.38","8846.91503","2207.63208","6.9","8362","1040","5822","633","1316","4327","Transportation - Equipment and Leasing","Transportation","17343.42"
"Westamerica Ban","WABC","YES","1.53","1.55","1","6.1","326.83999","81.83","23.11","266.88","165.66999","1.84599","122.03399","136.895","1232.43994","Banks - West","Finance","1135.4"
"Washington Federal","WAFD","YES","1.09","1.11","2","4.4","784.74499","195.88999","12.35","732.73","328.76599","43.041","236.33","300.38","16861.40039","Banks - West","Finance","1966.56"
"Western Alliance Ban","WAL","YES","2.29","2.38","6","9.32","2703.76489","667.06298","46.22","3016.4","1515.19995","276.39999","1057.30004","1142.59997","53779","Banks - West","Finance","3373.94"
"Washington Trust Bancorp","WASH","YES",".93",".91","1","3.67","221.8","55.29999","4.76","257.07","103.622","26.023","71.68099","78.69699","5199.52099","Banks - Northeast","Finance","571.37"
"Waters","WAT","YES","2.88","2.99","7","12.67","3170.62402","750.31597","6.68","2971.96","886.643","1248.182","707.755","855.61499","1763.90295","Instruments - Scientific","Computer and Technology","17683.07"
"Energous","WATT","YES","","","","-.26","1.02999",".2","12.42",".85","-26.68601","1.27799","-26.275","-22.31801","27.364","Manufacturing - Electronics","Industrial Products","46.14"
"WaveDancer","WAVD","YES","","","","","","","8.13","15.03","-2.16471","11.418","-1.13101","-.89441","6.873","Internet - Software","Computer and Technology","5.35"
"Weibo","WB","YES",".56",".64","1","2.27","1893.64697","458.19198","-18.64","1836.33","621.72399","400.58499","85.555","540.07702","4552.25781","Internet - Content","Computer and Technology","4298.18"
"Walgreens Boots Alliance","WBA","YES","1.1","1.1","6","4.49","135893.625","33850.1289",".15","132703","4385","104437","4336","6350","16902","Retail - Pharmacies and Drug Stores","Retail-Wholesale","30870.83"
"Warner Bros. Discovery","WBD","YES",".2",".49","5","1.41","43661.03515","10905.5996","177.39","33817","-7183","20442","-7371","22288.26953","13999","Broadcast Radio and Television","Consumer Discretionary","36717.75"
"Webster Financial","WBS","YES","1.61","1.62","6","6.5","2882.56201","716.52398","115.25","2725.52","909.87597","138.552","644.28302","1063.94604","51629.78906","Banks - Northeast","Finance","6459.2"
"Kensington Capital Acquisition II","WBX","YES","","","","-.14","319.625","70.80999","79.42","151.94","-62.92901","90.193","-66.16601","-46.27601","268.84799","Electronics - Miscellaneous Products","Computer and Technology","630.39"
"WESCO International","WCC","YES","4.68","4.81","5","17.53","22891.54492","5873.14794","17.58","21420.12","1431.07104","16758.78906","860.471","1111.71704","8330.53906","Electronics - Parts Distribution","Computer and Technology","6843.76"
"Waste Connections","WCN","YES","1.08","1.18","8","4.22","8067.08886","2035.51293","17.24","7211.86","1251.29394","4336.0122","835.66198","1909.68798","1117.64501","Waste Removal Services","Business Services","35496.88"
"Walker & Dunlop","WD","YES","1.34","1.88","2","6.49","1319.60998","350.13","-.03","1258.75","299.19799","607.36602","213.82","423.23901","999.50201","Financial - Mortgage & Related Services","Finance","2387.96"
"Workday","WDAY","YES","1.1","1.18","28","4.94","7221.02685","1675.79699","20.96","6215.82","-259.95002","1715.17797","-366.749","1495.151","8108.22412","Internet - Software","Computer and Technology","50973.79"
"Western Digital","WDC","YES","-1.3","-.69","5","-3.01","12514.75","2907.16992","11.06","18793","2427","12919","1500","3572","9453","Computer- Storage Devices","Computer and Technology","11224.18"
"WD40","WDFC","YES","1.31","1.49","1","5.19","545.75","","6.29","518.82","86.84999","264.05499","67.329","75.623","249.63999","Consumer Products - Staples","Consumer Staples","2426.88"
"Woodside Petroleum","WDS","YES","","","","","","","141.55","16817","9341","6540","6498","2948","9290","Oil and Gas - Integrated - International","Oils-Energy","22159.25"
"WeWork","WE","YES","-.37","-.33","1","-1.37","3582.69995","879.70001","26.26","3245","-1773","2914","-2034","-768","689","Technology Services","Business Services","477.17"
"Weave Communications","WEAV","YES","-.08","-.07","4","-.29","156.56399","38.58","22.65","142.12","-48.19301","53.276","-49.738","-3.63401","132.888","Communication - Network Software","Computer and Technology","345.87"
"WEC Energy Group","WEC","YES",".92",".99","3","4.6","9458.58593","2042.40197","15.41","9597.4","2247.69995","6296.8999","1409.30004","2530.69995","3187.69995","Utility - Electric Power","Utilities","31114.46"
"Wejo Group","WEJO","YES","","","","","32.09999","6.9","227.2","8.4","-153.59101","7.73899","-159.25301","-132.14301","22.304","Technology Services","Business Services","45.05"
"Welltower","WELL","YES",".86",".88","7","3.47","6369.40185","1579.81799","23.59","5860.62","702.58099","3569.09008","141.214","1478.12304","3076.14697","REIT and Equity Trust - Other","Finance","35105.58"
"Wendy's","WEN","YES",".28",".26","9",".98","2214.29003","569.44897","10.46","2095.5","365.824","819.90502","177.36999","322.14001","1058.28295","Retail - Restaurants","Retail-Wholesale","4603.7"
"Werner Enterprises","WERN","YES",".75",".76","5","3.19","3416.47607","852.15197","20.32","3289.98","336.61401","1467.859","241.25599","519.08697","762.61499","Transportation - Truck","Transportation","2814.57"
"Western Midstream Partners","WES","YES",".71",".75","4","2.89","3228.83007","802.25","13.02","3251.72","1589.58203","1075.46594","1217.10302","1806.60998","900.42498","Oil and Gas - Refining and Marketing - Master Limited Partnerships","Oils-Energy","10357.45"
"Westrock Coffee Company","WEST","YES","-.01",".05","1",".11","940.40002","242.6","24.31","867.87","-19.85301","715.10699","-55.18501","9.26799","298.09899","Beverages - Soft drinks","Consumer Staples","940.42"
"WEX","WEX","YES","3.51","3.59","7","13.8","2464.104","610.37402","27.02","2350.51","391.23599","930.45001","201.438","878.97302","6817.14892","Financial Transaction Services","Business Services","7754.84"
"Wells Fargo & Company","WFC","YES","1.24","1.21","8","4.72","79772.3125","20067.60742",".55","82859","21694","2349","13182","20014","1263338","Banks - Major Regional","Finance","143151.63"
"West Fraser Timber Co.","WFG","YES","1.73","1.62","1","5.26","6100","","-7.77","9701","2596","6105","1975","2564","2749","Agriculture - Products","Basic Materials","5846.03"
"Weatherford International","WFRD","YES",".99","1.17","1","3.99","4885.5249","1184","18.82","4331","317","3020","26","411","3043","Oil and Gas - Field Services","Oils-Energy","4220.1"
"Winnebago Industries","WGO","YES","1.7","1.77","5","7.36","3682.69995","926.94799","36.58","4957.73","556.03497","4028.39306","390.63598","511.75","1093.81494","Building Products - Mobile Homes and RV Builders","Construction","1691.59"
"GENEDX HOLDINGS","WGS","YES","-.04","-.04","1","-.18","205.19999","48.7","10.6","234.69","-594.82502","261.444","-548.97999","-489.15302","212.62199","Medical Services","Medical","261.59"
"Wyndham Hotels & Resorts","WH","YES","1","1.25","6","3.98","1508.17004","396.872","-4.28","1498","556","106","355","437","545","Hotels and Motels","Consumer Discretionary","5767.42"
"Cactus","WHD","YES",".63",".66","3","2.47","996.92297","257.09298","56.95","688.37","172.83799","445.92098","110.174","174.45199","654.64202","Oil and Gas - Integrated - United States","Oils-Energy","3275.75"
"WhiteHorse Finance","WHF","YES",".45",".44","4","1.78","101.16","25.49699","21.32","87.53","37.623","0","15.68299","31.37","35.53499","Financial - SBIC & Commercial Industry","Finance","289.14"
"Westwood Holdings","WHG","YES","","","","","","","-5.99","68.68","-5.19501","0","-4.628","6.13999","58.192","Financial - Investment Management","Finance","98.75"
"Whirlpool","WHR","YES","3.7","5.14","3","16.68","19136.0332","4682.20996","-10.28","19724","-1037","16651","-1519","1957.23803","6394","Household Appliances","Consumer Discretionary","6947.37"
"WiMi Hologram Cloud","WIMI","YES","","","","","","","24.75","146.46","-38.92301","107.317","-37.01101","-33.70001","142.388","Internet - Content","Computer and Technology","95.38"
"Wingstop","WING","YES",".45",".5","7","1.89","410.272","99.827","26.56","357.52","90.54599","63.395","52.94699","68.189","226.67199","Retail - Restaurants","Retail-Wholesale","5398.21"
"Encore Wire","WIRE","YES","","","","19.76","","","16.39","3017.55","924.84997","1905.13403","717.841","744.07299","1401.64099","Wire and Cable Products","Industrial Products","2863.03"
"WiSA Technologies","WISA","YES","-2.11","-2.15","1","-8.94","4",".8","-48.56","3.37","-15.25101","2.97","-16.151","1.001","11.13","Wireless Equipment","Computer and Technology","2.77"
"ContextLogic","WISH","YES","-.15","-.14","1","-.56","539.15002","134.02","-72.61","571","-383","405","-384","-378","777","Internet - Commerce","Retail-Wholesale","284.95"
"Wipro Limited","WIT","YES",".06",".06","1",".28","12037.18652","","23.1","10425","2064","7327","1610","2017","8182","Business - Software Services","Computer and Technology","24643.1"
"Wix.com","WIX","YES",".36",".37","7","1.49","1519.14001","376.35299","9.29","1387.67","-284.32999","526.22698","-424.86301","18.055","1147.73706","Computers - IT Services","Computer and Technology","5302.82"
"Workiva","WK","YES","-.07",".02","5","-.13","625.02301","151.85499","21.34","537.88","-82.95801","129.88499","-90.947","-2.63701","600.08898","Internet - Software","Computer and Technology","5165.9"
"WISeKey","WKEY","YES","","","","","","","50.61","22.26","-23.13","13.17","-20.34001","-19.34601","42.50999","Security and Safety Services","Industrial Products","28.09"
"Workhorse Group","WKHS","YES","-.15","-.12","3","-.56","72.35299","13.043","","5.02","-115.436","37.672","-117.27401","-115.32901","139.358","Automotive - Original Equipment","Auto-Tires-Trucks","190.47"
"WalkMe","WKME","YES","-.1","-.06","2","-.3","272.13","66.83799","26.75","245.01","-104.519","53.88399","-92.628","-48.15801","339.07699","Internet - Software","Computer and Technology","890.16"
"Worksport","WKSP","YES","","","","","","","-61.51",".12","-12.04501",".05696","-12.53401","-12.047","18.332","Automotive - Retail and Whole Sales","Retail-Wholesale","24.72"
"Willdan Group","WLDN","YES",".1",".45","2","1.14","532.875","128.14999","21.31","429.14","-6.12401","285.55899","-8.448","32.103","173.97399","Engineering - R and D Services","Construction","201.48"
"Westlake","WLK","YES","2.9","3.13","6","10.1","13600.72851","3545.31396","34.1","15794","3123","11721","2247","3303","5973","Chemical - Plastic","Basic Materials","14424.01"
"Westlake Chemical Partners","WLKP","YES","","","","1.83","1618.67004","","31.14","1593.15","349.25299","1215.78198","64.17299","185.24699","245.79299","Chemical - Specialty","Basic Materials","757.62"
"Williams Industrial Services Group","WLMS","YES","-.12","-.05","1","-.48","271.5","64.5","-21.91","238.12","-8.71301","231.07099","-13.67801","-12.912","51.066","Building Products - Miscellaneous","Construction","26.15"
"John Wiley & Sons","WLY","YES","","","","3.42","","","7.28","2082.93","229.46299","700.65802","148.309","450.401","550.86602","Publishing - Books","Consumer Staples","2103.75"
"Waste Management","WM","YES","1.52","1.66","8","6","20626.5","5204.81591","9.85","19698","3296","12294","2238","4471","3551","Waste Removal Services","Business Services","66571.52"
"The Williams Companies","WMB","YES",".43",".45","5","1.82","12278.07714","3000.03002","3.18","10965","3689","5186","2049","4310","3797","Oil and Gas - Production and Pipelines","Oils-Energy","36137.77"
"Western Asset Mortgage Capital","WMC","YES","","","","","","","-3.26","158.72","-85.295","141.67399","-89.07901","13.48299","2304.64794","REIT and Equity Trust","Finance","53.13"
"Warner Music Group","WMG","YES",".24",".26","5",".93","6005.04394","1515.484","11.66","5919","865","3080","551","890","2139","Film and Television Production and Distribution","Consumer Discretionary","16238.49"
"Weis Markets","WMK","YES","","","","","","","11.16","4695.94","160.77699","3514.02905","125.19599","229.222","741.16998","Retail - Supermarkets","Retail-Wholesale","2260.14"
"Advanced Drainage Systems","WMS","YES","1.74","1.91","2","5.58","2907.68505","816.039","39.67","2769.31","417.061","1968.93103","271.33099","443.95599","871.89801","Building Products - Miscellaneous","Construction","6306.15"
"Walmart","WMT","YES","1.31","1.71","12","6.1","631484.6875","148643.8125","6.73","611289","19144","463721","11680","28147.67968","75655","Retail - Supermarkets","Retail-Wholesale","406504.94"
"Wabash National","WNC","YES",".79",".84","1","2.9","2829","713","38.76","2502.13","166.96","2179.43798","112.258","159.227","592.61901","Automotive - Original Equipment","Auto-Tires-Trucks","1028.49"
"Western New England Bancorp","WNEB","YES",".27",".27","2","1.09","93.15","23.14999","7.41","99.26","35.97299","5.352","25.88699","30.85","2009.95104","Banks - Foreign","Finance","179.96"
"WNS","WNS","YES","1","1.04","3","4.24","1283.078","311.41699","21.61","1109.8","177.927","735.16497","132.10099","236.30499","568.09002","Business - Services","Business Services","4422.44"
"Wolfspeed","WOLF","YES","-.13","-.09","5","-.42","911.781","234.436","41.97","746.2","-286.10001","496.89999","-200.9","96.4","1762.40002","Semiconductor - Discretes","Computer and Technology","7146.49"
"Petco Health and Wellness Co.","WOOF","YES",".05",".09","2",".44","6200.34277","1482.82397","3.94","6035.97","213.92399","3608.8601","90.801","399.52099","1015.99401","Retail - Miscellaneous","Retail-Wholesale","1966.8"
"Worthington Industries","WOR","YES","1.06","","","4.18","4868","","65.3","5242.22","545.62298","4527.40283","379.38598","474.203","1785.65295","Metal Products - Procurement and Fabrication","Industrial Products","3027.2"
"WideOpenWest","WOW","YES",".08",".09","4",".36","703.27502","174.8","-31.83","704.9","15.89999","327","-2.5","178.5","120.9","Cable Television","Consumer Discretionary","919.27"
"W.P. Carey","WPC","YES","1.32","1.33","2","5.28","1745.40502","433.27999","11.08","1479.09","845.36602","153.947","599.13897","1191.46301","167.996","REIT and Equity Trust - Other","Finance","15554.43"
"Washington Prime Group","WPGGQ","YES","","","","","","","","524.42","-105.072","137.779","-219.786","7.22599","225.22799","REIT and Equity Trust - Retail","Finance",""
"Wheaton Precious Metals","WPM","YES",".29",".31","10","1.17","1122.70397","281.91799","-11.37","1065.05","675.221","499.57299","669.12597","738.45098","720.09301","Mining - Miscellaneous","Basic Materials","22421.43"
"WPP","WPP","YES","","","","6.33","14614.95996","","1.41","17851.01","1879.09899","14706.86035","844.432","1995.807","18675.08984","Advertising and Marketing","Business Services","12647.77"
"Westport Fuel Systems","WPRT","YES","-.08","-.07","4","-.26","324.15399","84.01699","-2.15","305.7","-31.28301","269.496","-32.695","-35.99901","277.21899","Automotive - Original Equipment","Auto-Tires-Trucks","147.17"
"Wrap Technologies","WRAP","YES","-.11","-.1","1","-.41","8.85999","1.94","4.14","8.05","-17.61701","4.315","-17.61701","-16.744","26.85899","Security and Safety Services","Industrial Products","66.84"
"W.R. Berkley","WRB","YES","1.2","1.15","4","4.89","11608.5996","2867.36303","18.1","11166.5","1850.05505","5861.75","1381.06201","1279.80603","8761.19726","Insurance - Property and Casualty","Finance","16623.46"
"Warby Parker","WRBY","YES",".05",".02","3",".12","656.21301","162.3","10.6","598.11","-111.20301","257.04998","-110.393","28.16099","294.56799","Medical - Products","Medical","1061.87"
"WestRock","WRK","YES",".84",".91","4","2.92","21152.49414","5459.88818","13.39","21256.5","1537.59997","17235.80078","944.59997","2733.69995","5985.3999","Paper and Related Products","Basic Materials","7654.83"
"World Acceptance","WRLD","YES","1.58","1.42","1","7.91","577.33001","140.44999","10.82","582.39","99.00399","0","53.91999","87.52899","1004.75097","Financial - Consumer Loans","Finance","504.39"
"WesBanco","WSBC","YES",".77",".78","3","3.16","645.50701","160.47999","2.15","631.05","251.79699","23.947","192.113","215.406","11070.12011","Banks - Southeast","Finance","1788.67"
"Waterstone Financial","WSBF","YES",".23",".27","1",".83","141.1","35.5","-35.62","175.8","32.907","4.86299","19.48699","21.058","1670.25097","Financial - Savings and Loan","Finance","325.14"
"WillScot Mobile Mini","WSC","YES",".41",".49","6","1.75","2379.80102","586.25598","13.07","2142.62","511.48199","750.42199","339.54","631.91198","521.04101","Furniture","Consumer Discretionary","8293.17"
"WSFS","WSFS","YES","1.27","1.22","2","5.03","1031.91003","258.30499","50.18","963.95","313.35299","28.18099","222.375","302.85","12714.67968","Financial - Savings and Loan","Finance","2270.74"
"WilliamsSonoma","WSM","YES","2.43","2.91","7","13.52","8387.34082","1798.51794","5.2","8674.42","1498.42199","4996.68408","1127.90405","1353.885","2036.07995","Retail - Home Furnishings","Retail-Wholesale","7746.06"
"Watsco","WSO","YES","4.78","4.3","8","13.78","7487.26611","2197.64208","15.83","7274.34","831.578","5244.05517","601.16699","589.67297","2298.73901","Building Products - Air Conditioner and Heating","Construction","11719.84"
"Whitestone REIT","WSR","YES",".21",".21","1",".86","145.45899","36.089","11.21","139.42","63.415","43.29499","35.27","68.077","68.12799","REIT and Equity Trust - Other","Finance","438.89"
"West Pharmaceutical Services","WST","YES","1.94","1.85","5","7.38","2945.37207","751.03997","1.95","2886.9","687.79998","1750.69995","585.90002","770.59997","1919.5","Medical - Dental Supplies","Medical","25602.33"
"WisdomTree, Inc.","WT","YES",".07",".08","3",".26","325.98999","80.218","-.98","301.35","54.88499","0","50.68399","45.486","293.96301","Financial - Miscellaneous Services","Finance","888.36"
"West Bancorporation","WTBA","YES",".4",".41","1","1.63","87.8","22","14.14","133.56","68.37699","22.62899","46.39899","50.86199","2755.88989","Financial - Savings and Loan","Finance","291.54"
"Wintrust Financial","WTFC","YES","2.72","2.77","6","10.65","2367.46704","592.88299","18.63","2208.5","777.43402","175.20199","509.682","594.16802","44036.5","Banks - Midwest","Finance","4335.2"
"W&T Offshore","WTI","YES",".25",".27","2","1.08","726.565","177.40499","65.05","921","354.25","259.54199","231.149","425.99798","570.263","Oil and Gas - Exploration and Production - United States","Oils-Energy","741.09"
"Essential Utilities","WTRG","YES",".34",".28","1","1.87","2219","468","21.82","2288.03","689.02398","1215.64404","465.23699","786.414","658.15899","Utility - Water Supply","Utilities","11904.55"
"Watts Water Technologies","WTS","YES","2.01","1.72","5","6.96","1989.54199","527.33398","9.41","1979.5","314.6","1105.19995","251.5","279.5","950.59997","Instruments - Control","Computer and Technology","5161.22"
"Wireless Telecom Group","WTT","YES","","","","","30.86","","-54.58","22.37","-3.06","9.534","14.58899","1.501","32.241","Communication - Infrastructure","Computer and Technology","38.9"
"Select Energy Services","WTTR","YES",".18",".26","3",".89","1671.72998","411.18499","81.45","1387.42","59.42399","1226.66503","48.27799","164.65499","517.93597","Oil and Gas - Field Services","Oils-Energy","918.21"
"Willis Towers Watson","WTW","YES","2.45","2.25","7","14.58","9181.17968","2116.37988","-1.47","8866","1466","0","1009","2074","3649","Insurance - Brokerage","Finance","25203.67"
"Western Union","WU","YES",".38",".42","7","1.59","4078.552","1045.76599","-11.74","4475.5","1109.59997","2626.3999","910.59997","868.5","4772.70019","Financial Transaction Services","Business Services","4129.88"
